System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
Pandemonium (morse),Other,Morse translation,Massachusetts Institute of Technology,Academia,OG Selfridge,01/02/1959,1959,Pandemonium: A Paradigm for Learning,https://aitopics.org/doc/classics:504E1BAC/,1.45E+03,Highly cited,3.00E+03,6.0E+08,,,,,,,,,,,,Academia
ADALINE,Vision,Pattern recognition,Standford University,Academia,Widrow and Hoff,30/06/1960,1960,Adaptive switching circuits,https://isl.stanford.edu/~widrow/papers/c1960adaptiveswitching.pdf,6.33E+03,Highly cited,1.70E+01,9.9E+03,,1.00E+02,,3.30E+01,,,,,,,,Academia
LMS,,,Standford University,Academia,Widrow and Hoff,30/06/1960,1960,Adaptive switching circuits (technical report),https://www.scirp.org/(S(351jmbntvnsjt1aadkposzje))/reference/ReferencesPapers.aspx?ReferenceID=547230,6.33E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,Massachusetts Institute of Technology (MIT),Academia,Marvin Minsky,01/01/1961,1961,Steps Toward Artificial Intelligence,https://ieeexplore.ieee.org/abstract/document/4066245,2.43E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,Massachusetts Institute of Technology (MIT),Academia,Marvin Minsky and Oliver G. Selfridge,01/07/1961,1961,Learning in random nets,https://stacks.stanford.edu/file/druid:yr384hg3073/yr384hg3073.pdf,4.70E+01,Historical relevance,,,,,,,,,,,,,,Academia
,,Binary classification,The University of Genoa,Academia,"A Gamba, L Gamberini, G Palmieri, R Sanna",01/09/1961,1961,Further experiments with PAPA,https://www.semanticscholar.org/paper/Further-experiments-with-PAPA-Gamba-Gamberini/c3a20b9aa86033cec29f08e69f4bc81e8b329ae2,2.10E+01,,,,,,,,,,,,,,,Academia
MADALINE I,,,Standford University,Academia,William Combs Ridgway,01/07/1962,1962,An adaptive logic system with generalizing properties,https://www.proquest.com/openview/7898314db50a218b58052ac91e3bde1e/1?,7.50E+01,Historical relevance,,,,,,,,,,,,,,Academia
STeLLA,,,University of Canterbury,Academia,J.H. Andreae and Peter L. Joyce,01/06/1963,1963,STeLLA: A Scheme for a Learning Machine,https://www.researchgate.net/publication/252919025_STELLA_A_scheme_for_a_learning_machine,3.40E+01,,,,,,,,,,,,,,,Academia
MENACE,Games,Tic Tac Toe,University of Edinburgh,Academia,University of Edinburgh,01/11/1963,1963,Experiments on the Mechanization of Game-Learning Part I. Characterization of the Model and its parameters,https://academic.oup.com/comjnl/article/6/3/232/360077,4.60E+01,,,,,,,,,,,,,,,Academia
Samuel Neural Checkers II,Games,Checkers,University of Geneva,Academia,"Palmieri, G. and R. Sanna",01/11/1967,1967,Some studies in machine learning using the game of checkers. Part II,https://www.cs.virginia.edu/~evans/greatworks/samuel.pdf,7.47E+02,,4.00E+01,,,,N/A,,,,,,,,,Academia
GLEE,Games,Tic Tac Toe,University of Edinburgh,Academia,Michie and Chambers,01/07/1968,1968,Boxes: An Experiment in Adaptive Control,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.474.2430,5.90E+02,Historical relevance,,,,,,,,,,,,,,Academia
BOXES,Games,Pole balancing,University of Edinburgh,Academia,Michie and Chambers,01/07/1968,1968,Boxes: An Experiment in Adaptive Control,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.474.2430,5.90E+02,Historical relevance,,,,,,,,,,,,,,Academia
,,,Massachusetts Institute of Technology,Academia,Patrick Winston,01/09/1970,1970,Learning Structural Definitions from Examples,https://dspace.mit.edu/handle/1721.1/6884,1.81E+03,Highly cited,,,,,,,,,,,,,,Academia
Naive Bayes,Vision,,Massachusetts Institute of Technology,Industry,Duda and Hart,01/09/1974,1974,Pattern Classification and Scene Analysis,https://www.semanticscholar.org/paper/Pattern-classification-and-scene-analysis-Duda-Hart/b07ce649d6f6eb636872527104b0209d3edc8188,2.31E+04,Highly cited,,,,,,,,,,,,,,Industry
Bootstrap Adaptation,Games,Blackjack,IEEE,Academia,"Widrow, Gupta, and Maitra",09/1973,1973,Punish/Reward: Learning with a Critic in Adaptive Threshold Systems,https://ieeexplore.ieee.org/document/4309272,3.82E+02,,2.10E+01,,,,,,,,,,,,,Academia
Cognitron,,,Biological Cybernetics,Industry,Kunihiko Fukushima,09/1975,1975,Cognitron: a self-organizing multilayered neural network,https://link.springer.com/article/10.1007%2FBF00342633,7.91E+02,Historical relevance,,,,,,,,,,,,,,Industry
TD(0),,,University of Essex,Academia,Ian Witten,01/08/1977,1977,An adaptive optimal controller for discrete-time Markov environments,https://www.sciencedirect.com/science/article/pii/S0019995877903540,2.44E+02,Historical relevance,,,,,,,,,,,,,,Academia
,Vision,,Utrecht University,Academia,Koenderink & van Doom,5/1979,1979,The internal representation of solid shape with respect to vision,https://link.springer.com/article/10.1007/BF00337644,9.81E+02,Historical relevance,,,,,,,,,,,,,,Academia
Neocognitron,Vision,Character recognition,NHK Broadcasting Science Research Laboratories,Industry,"K Fukushima, S Miyake",04/1980,1980,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,https://link.springer.com/article/10.1007/BF00344251,5.78E+03,Highly cited,1.14E+06,2.3E+08,,5.00E+00,,,,,,,,,,Industry
Kohonen network,Other,Dimensionality reduction,Helsinki University of Technology,Academia,T Kohonen,25/07/1981,1981,Self-organized formation of topologically correct feature maps,https://link.springer.com/article/10.1007/BF00337288,1.18E+04,Highly cited,4.10E+03,,,,,,,,,,,,,Academia
Hopfield network,Other,Sequence memorization,California Institute of Technology,Academia,JJ Hopfield,01/04/1982,1982,Neural networks and physical systems with emergent collective computational abilities,https://www.pnas.org/doi/10.1073/pnas.79.8.2554,2.33E+04,Highly cited,9.90E+03,,,,N/A,,,,,,,,,Academia
ASE+ACE,Games,Pole balancing,Stanford,Academia,"Andrew G. Barto, Richard S. Sutton, and Charles W. Anderson",09/1983,1983,Neuronlike adaptive elements that can solve difficult learning control problems,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6313077,4.30E+03,Highly cited,3.24E+02,,,,,,,,,,,,,Academia
,Language,,MIT,Academia,Steven Pinker,01/07/1984,1984,Language learnability and language development.,https://psycnet.apa.org/record/1985-97439-000,4.73E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,University of California and University of Carnegie Mellon,Academia,"D. E. Rumelhart, G. E. Hinton, and R. J. Williams",01/1986,1986,Learning internal representations by error propagation,https://dl.acm.org/doi/10.5555/104279.104293,2.73E+04,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,Massachusetts Institute of Technology,Academia,John Canny,11/1986,1986,A Computational Approach To Edge Detection,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4767851,3.79E+04,Highly cited,,,,,,,,,,,,,,Academia
,,,University of California,Academia,"Jordan, M.I.",01/05/1986,1986,Serial order: A parallel distributed processing approach,https://www.osti.gov/biblio/6910294,1.50E+03,Highly cited,,,,,,,,,,,,,,Academia
Back-propagation,Other,Learning to complete triples,University of California,Academia,"Rumelhart, David E.; Hinton, Geoffrey E.; Williams, Ronald J.",01/10/1986,1986,Learning representations by back-propagating errors,https://www.semanticscholar.org/paper/Learning-representations-by-back-propagating-errors-Rumelhart-Hinton/052b1d8ce63b07fec3de9dbb583772d860b7c769,2.53E+04,Highly cited,1.44E+02,1.2E+08,,1.44E+02,,2.88E+02,,,,Unsupervised,,,,Academia
,Language,Verb conjugation,Stanford,Academia,"Rumelhart, D. E., & McClelland, J. L",03/01/1986,1986,Learning the past tenses of English verbs: Implicit rules or parallel distributed processing?,https://www.semanticscholar.org/paper/On-learning-the-past-tenses-of-English-verbs%3A-rules-Rumelhart-McClelland/4fa569625b5ab35e955a8d5be11a4aa9f59ca424,3.06E+02,,2.12E+05,,,,,,,,,,,,,Industry
,Vision,,"University of California, Santa Cruz",Academia,"Biederman, Irving",01/04/1987,1987,Recognition-by-components: A theory of human image understanding,https://psycnet.apa.org/record/1987-20898-001,7.59E+03,Highly cited,,,,,,,,,,,,,,Academia
NetTalk,Speech,Speech synthesis,Princeton University,Academia,"TJ Sejnowski, CR Rosenberg",06/06/1987,1987,Parallel Networks that Learn to Pronounce English Text,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,2.56E+03,Highly cited,1.86E+04,8.1E+10,,2.10E+04,1,,,,,,,,,Academia
MADALINE II,Other,Pattern classification,Stanford University,Academia,"Rodney Winter, Bernard Widrow",24/07/1988,1988,MADALINE RULE II: A Training Algorithm for Neural Networks,https://ieeexplore.ieee.org/document/23872,8.10E+01,,,,,,,,,,,,,,,Academia
,Vision,,Roke Manor Research,Industry,Harris & Stephens,01/07/1988,1988,A Combined Corner and Edge Detector,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.434.4816&rep=rep1&type=pdf,1.91E+04,Highly cited,,,,1.50E+03,,,,,,,,,,Industry
Adaptive Broom Balancer,Games,Pole balancing,Stanford University,Academia,"VV Tolat, B Widrow",24/07/1988,1988,An Adaptive “Broom Balancer” with Visual Inputs,https://ieeexplore.ieee.org/document/23982,8.00E+01,,1.10E+02,,,,,,,,,,,,,Academia
,,,Technische Universität Wien Austria & University of California,Academia,Kurt Hornik & Maxwell Stinchcombe & Halbert White,09/03/1989,1989,Multilayer feedforward networks are universal approximators,https://www.sciencedirect.com/science/article/abs/pii/0893608089900208,2.17E+04,Highly cited,,,,,,,,,,,,,,Academia
Time-delay neural networks,,,Carnegie Mellon University & ATR Interpreting Telephony Research Laboratories & University of Toronto ,Industry - Academia Collaboration,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, and K. J. Lang",03/03/1989,1989,Phoneme recognition using time-delay neural networks,https://ieeexplore.ieee.org/abstract/document/21701,3.45E+03,Highly cited,,,,,,,,,,,,,,Industry
Q-learning,,,University of London,Academia,Christopher Watkins,01/01/1989,1989,Learning from delayed rewards,http://www.cs.rhul.ac.uk/~chrisw/thesis.html,8.03E+03,Highly cited,,,,,,,,,,,,,,Academia
Zip CNN,Vision,Character recognition,AT&T Bell Laboratories,Industry,Y. LeCun B. Boser J. S. Denker D. Henderson R. E. Howard W. Hubbard L. D. Jackel,01/12/1989,1989,Backpropagation applied to handwritten zip code recognition,https://ieeexplore.ieee.org/document/6795724,9.05E+03,Highly cited,9.76E+03,4.3E+10,Buffalo zips,7.29E+03,3,1.29E+05,,,,,,,,Industry
ALVINN,Driving,,Carnegie Mellon University ,Academia,DA Pomerleau,01/12/1989,1989,ALVINN: an autonomous land vehicle in a neural network,https://proceedings.neurips.cc/paper/1988/hash/812b4ba287f5ee0bc9d43bbf5bbe87fb-Abstract.html,1.58E+03,Highly cited,3.99E+03,8.1E+10,Road snapshots,1.20E+03,1,,,,,,,,,Academia
,,,"Air Force Institute of Technology, OH, USA",Academia,D.W. Ruck & S.K. Rogers & M. Kabrisky & M.E. Oxley & B.W. Suter,01/12/1990,1990,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,https://ieeexplore.ieee.org/abstract/document/80266,1.05E+03,Highly cited,,,,,,,,,,,,,,Academia
MADALINE III,,,University of Stanford,Academia,"B Widrow, M. A. Lehr",01/09/1990,1990,"30 years of adaptive neural networks: perceptron, madaline, and backpropagation",https://ieeexplore.ieee.org/document/58323,3.01E+03,,,,,,,,,,,,,,,Academia
DIABETES,Other,Medical diagnosis,Aalborg University,Academia,"S. Andreassen, R. Hovorka, J. Benn, K. G. Olesen, and E. R. Carson",24/06/1991,1991,A Model-based Approach to Insulin Adjustment,https://link.springer.com/chapter/10.1007/978-3-642-48650-0_19,1.32E+02,,4.29E+05,,,,,,,,,,,,,Academia
,Language,,"University of California, San Diego",Academia,J. L. Elman,01/09/1991,1991,"Distributed representations, simple recurrent networks, and grammatical structure",https://dl.acm.org/doi/10.1007/BF00114844,1.72E+03,Highly cited,,,,1.78E+05,,,,,,,,,,Academia
,,,Northeastern University,Academia,R. J. Williams,01/05/1992,1992,Simple statistical gradient-following algorithms for connectionist reinforcement learning,https://dl.acm.org/doi/10.1007/BF00992696,6.53E+03,Highly cited,,,,,,,,,,,,,,Academia
TD-Gammon,Games,Backgammon,IBM,Industry,G Tesauro,01/05/1992,1992,Practical Issues in Temporal Difference Learning,https://papers.nips.cc/paper/1991/file/68ce199ec2c5517597ce0a4d89620f55-Paper.pdf,1.34E+03,Highly cited,2.50E+04,1.8E+13,,6.30E+06,1,,,,,,,,,Industry
Fuzzy NN,Speech,Speech recognition,Indian Statistical Institute,Academia,"SK Pal, S Mitra",01/09/1992,1992,"Multilayer perceptron, fuzzy sets, and classification",https://ieeexplore.ieee.org/document/159058,1.22E+03,Highly cited,1.17E+03,3.0E+06,,8.71E+02,,,,,,,,,,Academia
IBM-5,Language,Translation,IBM T.J. Watson Research Center,Industry,"Peter F. Brown, Stephen A. Della Pietra, Vincent J. Della Pietra, Robert L. Mercer",15/06/1993,1993,The Mathematics of Statistical Machine Translation: Parameter Estimation,https://dl.acm.org/doi/10.5555/972470.972474,5.75E+03,Highly cited,1.66E+06,,Proceedings of the Canadian parliament,5.34E+07,,,,,,,,,,Industry
,Language,Part-of-speech tagging,EURECOM,Academia,Bernard Merialdo,01/06/1994,1994,Tagging English Text with a Probabilistic Model,https://dl.acm.org/doi/10.5555/972525.972526,7.88E+02,,2.45E+06,,,1.00E+06,N/A,,,,,,,,,Academia
GroupLens,Recommendation,,Massachusetts Institute of Technology,Academia,"Paul Resnick, Neophytos Iacovou, Mitesh Suchak, Peter Bergstrom, John Riedl",22/10/1994,1994,GroupLens : an Open Architecture for Collaborative Filtering of Netnews,https://dl.acm.org/doi/10.1145/192844.192905,7.73E+03,Highly cited,1.00E+08,,,1.00E+08,,,,,,,,,,Academia
Support Vector Machines,,,AT&T Bell Laboratories,Industry,"C Cortes, V Vapnik",09/1995,1995,Support-Vector Networks,https://link.springer.com/article/10.1007/BF00994018,4.90E+04,Highly cited,1.00E+08,,MNIST,6.00E+04,,,,,,,,,,Industry
,Language,,University of Pennsylvania,Academia,D Yarowsky,26/06/1995,1995,Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,https://dl.acm.org/doi/10.3115/981658.981684,3.00E+03,Highly cited,,,,4.60E+08,,,,,,,,,,Academia
,,,Xerox,Industry,Eric Saund,01/01/1995,1995,A Multiple Cause Mixture Model for Unsupervised Learning,https://ieeexplore.ieee.org/document/6795568,1.76E+02,,,,,,,,,,,,,Perplexity... sorta,,Industry
Random Decision Forests,,,AT&T Bell Laboratories,Industry,TK Ho,14/08/1995,1995,Random decision forests,https://ieeexplore.ieee.org/document/598994,4.68E+03,Highly cited,,,MNIST,6.00E+04,,,,,,,,,,Industry
System 11,Vision,Face recognition,Carnegie Mellon University,Academia,"HA Rowley, S Baluja, T Kanade",18/06/1996,1996,Neural Network-Based Face Detection,https://ieeexplore.ieee.org/document/655647,6.01E+03,Highly cited,6.45E+03,9.6E+08,,9.05E+03,,1.29E+04,,,,,,,,Academia
HMM Word Alignment,Language,Word alignment,University of Erlangen - Nuremburg,Academia,"Stephan Vogel, Hermann Ney, Christoph Tillmann",05/08/1996,1996,HMM-Based Word Alignment in Statistical Translation,https://dl.acm.org/doi/10.3115/993268.993313,1.10E+03,Highly cited,,,,4.42E+05,,,,,,Supervised,,,,Academia
LSTM,Other,Sequence recognition (?),The Technical University of Munich,Academia,Sepp Hochreiter ; Jurgen Schmidhuber,15/11/1997,1997,Long short-term memory,https://direct.mit.edu/neco/article-abstract/9/8/1735/6109/Long-Short-Term-Memory?redirectedFrom=fulltext,5.20E+04,Highly cited,1.05E+04,2.1E+13,,1.27E+06,,4.20E+04,,,,,,,,Academia
,Language,,Cambridge University Engineering & Carnegie Mellon University,Academia,"P Clarkson, R Rosenfeld",01/07/1997,1997,Statistical language modeling using the CMU-Cambridge toolkit,https://www.semanticscholar.org/paper/Statistical-language-modeling-using-the-toolkit-Clarkson-Rosenfeld/fdf4aa623e4d5b5edaeb873ed8e8b1cef0b59c87,9.54E+02,,,,,,,,,,,Supervised,,,,Academia
,Vision,,MIT,Academia,"E. Osuna, R. Freund, F. Girosi",17/06/1997,1997,Training Support Vector Machines: An Application to Face Detection,https://ieeexplore.ieee.org/document/609310,3.85E+03,Highly cited,,,,5.00E+04,,,,,,,,,,Academia
BRNN,Speech,Speech recognition,"ATR Labs, Japan",Industry,"M. Schuster, KK Paliwal",11/1997,1997,Bidirectional recurrent neural networks,https://ieeexplore.ieee.org/document/650093,6.09E+03,Highly cited,1.30E+04,,TIMIT,7.39E+04,,,,,,,,,,Industry
,,,"UC Davis, Cornell",Academia,"Bruno A. Olshausen, David J. Field",12/1997,1997,Sparse coding with an overcomplete basis set: A strategy employed by V1?,https://www.sciencedirect.com/science/article/pii/S0042698997001697,4.26E+03,Highly cited,,,,1.00E+01,,,,,,,,,,Academia
,Speech,,Johns Hopkins University,Academia,F Jelinek,01/15/1998,1998,Statistical Methods for Speech Recognition,https://mitpress.mit.edu/books/statistical-methods-speech-recognition,3.06E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Face recognition,Carnegie Mellon University,Academia,"H Schneiderman, T Kanade",23/06/1998,1998,Probabilistic modeling of local appearance and spatial relationships for object recognition,https://ieeexplore.ieee.org/document/698586,6.02E+02,,,,,1.20E+05,,,,,,,,,,Academia
,Other,Recommender system,AT&T Labs and Rutgers University and Bell Communications Research,Industry - Academia Collaboration,"C Basu, H Hirsh, W Cohen",01/07/1998,1998,Recommendation as Classification : Using Social and Content-based Information in Recommendation,https://www.aaai.org/Papers/AAAI/1998/AAAI98-101.pdf,1.56E+03,Highly cited,,,,4.50E+04,,,,,,,,,,Industry
RNN for speech,Speech,Speech synthesis,National Chiao Tung University,Academia,"SH Chen, SH Hwang, YR Wang",15/05/1998,1998,An RNN-based prosodic information synthesizer for Mandarin text-to-speech,https://ieeexplore.ieee.org/abstract/document/668817,2.31E+02,,7.51E+03,2.3E+11,,1.41E+04,,,,,,,,,,Academia
LeNet-5,Vision,Character recognition,AT&T Labs,Industry - Academia Collaboration (Industry leaning),"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",01/11/1998,1998,Gradient-based Learning Applied to Document Recognition,http://vision.stanford.edu/cs598_spring07/papers/Lecun98.pdf,3.86E+04,Historical relevance,6.00E+04,2.8E+12,MNIST,6.00E+04,6,7.81E+05,,,0.021,,,,,Industry
,Vision,Character recognition,"University of California San Diego & Shannon Laboratory, AT&T Labs",Industry,Yoav Freund & Robert E. Schapire,01/12/1999,1999,Large Margin Classification Using the Perceptron Algorithm,https://link.springer.com/article/10.1023/A:1007662407062,1.73E+03,Highly cited,,,MNIST,6.00E+04,,,,,,,,,,Industry
IBM Model 4,Language,Translation,University of Southern California & IBM & University of Pennsylvania,Industry - Academia Collaboration (Academia leaning),"Yaser Al-Onaizan, Jan Curin, Michael Jahr, Kevin Knight, John Lafferty, Dan Melamed, Franz-Josef Och, David Purdy, Noah A. Smith, and David Yarowsky",02/07/1999,1999,Statistical machine translation,http://www-i6.informatik.rwth-aachen.de/publications/download/266/al-onaizan--1999.pdf,1.92E+03,Highly cited,,,,8.00E+05,,,,,,,,,,Industry
,,,IDSIA Switzerland,Academia,"F. A. Gers, J. Schmidhuber, and F. Cummins",02/01/1999,1999,Learning to forget: Continual prediction with LSTM,https://ieeexplore.ieee.org/document/818041,4.52E+03,Highly cited,2.76E+02,,,3.00E+04,,,,,,,,,,Academia
,Recommendation,,University of Minnesota,Academia,"B Sarwar, G Karypis, J Konstan, J Riedl",14/07/2000,2000,Application of Dimensionality Reduction in Recommender System -- A Case Study,http://robotics.stanford.edu/~ronnyk/WEBKDD2000/papers/sarwar.pdf,2.13E+03,Highly cited,,,,,,,,,,,,,,Academia
Peephole LSTM,Other,Periodic function approximation,IDSIA Switzerland,Academia,F.A. Gers; J. Schmidhuber,26/07/2000,2000,Recurrent nets that time and count,https://ieeexplore.ieee.org/document/861302,6.30E+02,,1.70E+01,,,6.50E+07,,,,,,,,,,Academia
,Language,,University of Rochester,Academia,"Daniel Gildea, Daniel Jurafsky",09/2000,2000,Automatic Labeling of Semantic Roles,https://dl.acm.org/doi/10.1162/089120102760275983,2.33E+03,Highly cited,,,FrameNet,5.00E+04,,,,,,,,,,Academia
,Language,,RWTH Aachen - University of Technology,Academia,"Franz Josef Och, Hermann Ney",10/2000,2000,Improved Statistical Alignment Models,https://aclanthology.org/P00-1056/,1.32E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,Standford University,Academia,Jerome H. Friedman,01/10/2001,2001,Greedy function approximation: A gradient boosting machine,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-5/Greedy-function-approximation-A-gradient-boostingmachine/10.1214/aos/1013203451.full,1.43E+04,Highly cited,,,,,,,,,,,,,,Academia
Immediate trihead,Language,,Brown University,Academia,E Charniak,07/2001,2001,Immediate-Head Parsing for Language Models,https://dl.acm.org/doi/10.3115/1073012.1073029,4.22E+02,,,,,,,,,,,,,,,Academia
Decision tree (classification),Vision,Face recognition,Mitsubishi Electric Research Labs and Compaq CRL,Industry - Academia Collaboration,"P. Viola, M. Jones",8/12/2001,2001,Rapid object detection using a boosted cascade of simple features,https://www.cs.cmu.edu/~efros/courses/LBMV07/Papers/viola-cvpr-01.pdf,2.34E+04,Highly cited,1.20E+08,6.3E+13,,1.45E+04,,6.70E+07,,,,,,,,Industry
,Language,Translation,RWTH Aachen and University of Southern California,Academia,Franz Josef Och and Hermann Ney,07/2002,2002,Discriminative Training and Maximum Entropy Models for Statistical Machine Translation,https://aclanthology.org/P02-1038/,1.41E+03,Highly cited,,,,5.20E+05,,,,,,,,,,Academia
,Language,,IBM TJ Watson Research Centre,Industry,"K Papineni, S Roukos, T Ward, WJ Zhu",06/07/2002,2002,Bleu: a method for automatic evaluation of machine translation,https://dl.acm.org/doi/10.3115/1073083.1073135,1.58E+04,Highly cited,,,,,,,,,,,,,,Industry
,,,Korea Advanced Institute of Science and Technology,Academia,"YH Cho, JK Kim, SH Kim",01/10/2002,2002,A personalized recommender system based on web usage mining and decision tree induction,https://reader.elsevier.com/reader/sd/pii/S0957417402000520?token=155B6D1937982D7D0271AFD1CFB034DFD7F3D1DE816B66C025EBC9D0A305BA6DA685DD62989DC05246C794CAC74CDAEF&originRegion=us-east-1&originCreation=20220325235441,6.56E+02,,,,,,,,,,,,,,,Academia
,Language,,AT&T Labs,Industry,Michael Collins,01/06/2002,2002,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,https://dl.acm.org/doi/10.3115/1118693.1118694,2.58E+03,Highly cited,,,,,,,,,,,,,,Industry
,Language,,University of Southern California,Industry - Academia Collaboration,Daniel Marcu and William Wong,06/2002,2002,"A Phrase-Based, Joint Probability Model for Statistical Machine Translation",https://dl.acm.org/doi/10.3115/1118693.1118711,6.23E+02,,,,Hansard Corpus,1.07E+06,,,,,,,,,,Industry
,,,IDSIA Switzerland,Academia,"Justin Bayer, Daan Wierstra, Julian Togelius, Jürgen Schmidhuber",01/06/2002,2002,Evolving Neural Networks through Augmenting Topologies ,https://direct.mit.edu/evco/article/10/2/99/1123/Evolving-Neural-Networks-through-Augmenting,3.37E+03,Highly cited,,,,,,,,,,,,,,Academia
Thumbs Up?,Language,Sentiment classification,Cornell University and IBM Almaden Research Center,Industry - Academia Collaboration,"Bo Pang, Lillian Lee, Shivakumar Vaithyanathan",05/2002,2002,Thumbs up? Sentiment Classification using Machine Learning Techniques,https://arxiv.org/abs/cs/0205070,1.07E+04,Highly cited,,,IMDb,2.05E+03,,,,,,,,,,Industry
,Driving,Helicopter driving,Stanford and UC Berkeley,Academia,"H. Kim, Michael Jordan, Shankar Sastry, Andrew Ng",09/03/2006,2006,Autonomous helicopter flight via reinforcement learning,https://papers.nips.cc/paper/2003/hash/b427426b8acd2c2e53827970f2c2f526-Abstract.html,3.85E+02,,,,,,,,,,,,,,,Academia
,Vision,,University of Oxford,Academia,"R Fergus, P Perona, A Zisserman",18/06/2003,2003,Object Class Recognition by Unsupervised Scale-Invariant Learning,https://ieeexplore.ieee.org/document/1211479,2.97E+03,Highly cited,4.51E+02,,,3.50E+03,,,,,,,,,,Academia
